Second;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg;Dataset
170;24-02-202313:19:57;63;99;44;5961.199;1890;167.473;57;71.354;4299.997;13408;38.8;29.951;78.1;Bazowy
171;24-02-202313:19:58;63;99;44;5961.199;1882;164.887;57;73.698;4300;13568;39.3;29.432;78.1;Bazowy
172;24-02-202313:19:59;63;99;45;5961.199;1875;167.162;57;72.917;4299.998;13561;38.2;32.517;78;Bazowy
173;24-02-202313:20:00;64;99;44;5961.199;1890;169.699;55;75.113;4299.998;13521;38.6;30.233;78;Bazowy
174;24-02-202313:20:01;63;99;45;5961.199;1882;163.406;56;75.26;4299.999;13543;38.4;35.439;77.9;Bazowy
175;24-02-202313:20:02;63;99;45;5961.199;1882;167.886;53;75.521;4299.999;13587;38;29.688;77.9;Bazowy
176;24-02-202313:20:03;63;99;45;5961.199;1897;166.325;53;74.355;4299.999;13539;38.4;28.92;77.9;Bazowy
177;24-02-202313:20:04;64;99;44;5961.199;1882;165.786;57;72.396;4299.999;13441;38.9;29.874;77.8;Bazowy
178;24-02-202313:20:05;64;99;40;5961.199;1882;165.089;56;76.042;4299.999;13408;39.6;29.995;77.8;Bazowy
179;24-02-202313:20:06;64;99;40;5961.199;1890;161.833;56;74.479;4299.999;13456;37.1;31.369;77.7;Bazowy
180;24-02-202313:20:07;64;99;39;5961.199;1867;168.019;54;70.313;4299.999;13475;36.2;31.708;77.7;Bazowy
181;24-02-202313:20:08;63;99;39;5961.199;1867;166.389;56;69.531;4299.999;13430;35.9;31.761;77.6;Bazowy
182;24-02-202313:20:09;64;99;39;5961.199;1882;169.603;54;66.927;4299.999;13562;36.1;29.875;77.6;Bazowy
183;24-02-202313:20:10;64;99;39;5961.199;1897;165.683;55;68.229;4299.999;13554;35.8;31.08;77.6;Bazowy
184;24-02-202313:20:11;63;99;39;5961.199;1897;164.834;54;66.146;4299.999;13451;36.1;32.125;77.5;Bazowy
185;24-02-202313:20:12;64;99;39;5961.199;1875;166.655;55;72.135;4299.999;13457;36.1;35.482;77.5;Bazowy
186;24-02-202313:20:13;63;99;41;5961.199;1905;165.058;58;82.297;4299.999;13674;36.6;34.347;77.4;Bazowy
187;24-02-202313:20:14;64;96;38;5967.266;1897;166.835;56;82.551;4299.999;13630;36.7;33.038;77.4;Bazowy
188;24-02-202313:20:15;63;99;41;5967.266;1882;164.907;59;74.74;4299.999;13596;37.6;30.202;77.4;Bazowy
189;24-02-202313:20:16;63;99;39;5967.266;1905;163.602;60;72.656;4300;13523;37.4;30.555;77.3;Bazowy
190;24-02-202313:20:17;63;99;40;5967.266;1882;167.317;54;71.615;4299.997;13673;35.6;33.432;77.3;Bazowy
191;24-02-202313:20:18;63;99;41;5967.266;1905;161.26;58;71.615;4299.999;13639;35.3;34.279;77.2;Bazowy
192;24-02-202313:20:19;63;99;41;5967.191;1905;167.228;55;68.229;4299.999;13586;35.7;31.984;77.2;Bazowy
193;24-02-202313:20:20;63;99;40;5967.191;1882;167.344;56;64.844;4300;13631;35.9;32.496;77.2;Bazowy
194;24-02-202313:20:21;63;99;42;5967.191;1882;159.563;59;74.74;4299.999;13640;36.7;32.144;77.1;Bazowy
195;24-02-202313:20:22;63;99;44;5967.191;1882;165.38;59;86.198;4299.999;13564;40.1;35.474;77.1;Bazowy
196;24-02-202313:20:23;63;99;44;5967.191;1860;164.265;60;79.427;4299.999;13517;38.6;30.156;77;Bazowy
197;24-02-202313:20:24;63;99;44;5951.191;1905;165.941;59;77.083;4300;13648;38.3;32.466;77;Bazowy
198;24-02-202313:20:25;64;99;43;5951.191;1897;166.51;55;69.271;4299.999;13702;38.2;29.733;77;Bazowy
199;24-02-202313:20:26;63;99;45;5951.191;1882;168.55;54;75.521;4300;13426;37.6;31.615;76.9;Bazowy
200;24-02-202313:20:27;63;99;44;5951.191;1905;164.935;55;69.01;4300;13463;37.3;30.151;76.9;Bazowy
201;24-02-202313:20:28;63;99;44;5951.191;1867;160.414;58;75.26;4299.999;13610;37.3;31.731;76.8;Bazowy
202;24-02-202313:20:29;63;99;42;5951.191;1897;163.762;58;71.521;4299.999;13634;35.8;32.984;76.8;Bazowy
203;24-02-202313:20:30;63;99;41;5951.191;1905;164.684;60;74.091;4299.999;13611;34.5;36.876;76.8;Bazowy
204;24-02-202313:20:31;63;99;44;5967.191;1882;167.924;57;71.354;4299.999;13682;35.1;34.132;76.7;Bazowy
205;24-02-202313:20:32;64;99;44;5967.191;1882;168.22;54;74.74;4299.999;13710;35.5;31.662;76.7;Bazowy
206;24-02-202313:20:33;63;99;46;5967.191;1890;165.283;57;71.615;4299.999;13653;35.5;35.873;76.6;Bazowy
207;24-02-202313:20:34;64;99;44;5967.191;1867;170.957;54;70.833;4300;13584;35.4;31.735;76.6;Bazowy
208;24-02-202313:20:35;64;99;45;5967.191;1890;165.213;60;72.917;4300;13667;34.6;34.597;76.6;Bazowy
209;24-02-202313:20:36;64;99;44;5967.191;1875;165.223;54;72.547;4299.998;13690;34.8;33.576;76.5;Bazowy
210;24-02-202313:20:37;64;99;44;5967.191;1882;166.253;57;74.091;4300.001;13539;34.9;38.233;76.5;Bazowy
211;24-02-202313:20:38;64;99;44;5967.191;1875;168.704;57;81.51;4300.001;13296;34.8;44.503;76.4;Bazowy
212;24-02-202313:20:39;63;99;46;5967.191;1890;164.699;58;82.552;4299.999;13224;34.3;34.631;76.4;Bazowy
213;24-02-202313:20:40;64;99;46;5967.191;1897;166.721;55;80.99;4299.999;12918;35.1;32.764;76.4;Bazowy
214;24-02-202313:20:41;64;99;46;5967.191;1867;169.082;56;79.167;4299.999;12476;35.3;31.924;76.3;Bazowy
215;24-02-202313:20:42;64;99;46;5967.191;1882;169.888;58;73.438;4299.999;12445;36.6;33.321;76.3;Bazowy
216;24-02-202313:20:43;64;99;47;5967.191;1867;166.956;58;66.646;4299.999;12594;37.1;32.196;76.2;Bazowy
217;24-02-202313:20:44;64;99;45;5967.191;1875;170.046;56;74.355;4300;12501;36.4;35.516;76.2;Bazowy
